DatGeracaoConjuntoDados,DscConjuntoUnidadeConsumidora,DscAlimentadorSubestacao,DscSubestacaoDistribuicao,NumOrdemInterrupcao,DscTipoInterrupcao,IdeMotivoInterrupcao,DataInicioInterrupcao,HoraIcicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumNivelTensao,NumUnidadeConsumidora,NumConsumidorConjunto,NumAno,NomAgenteRegulado,SigAgente,NumCPFCNPJ,VlrIndiceEnviado
26/05/2023,BONJI,BJI-01Y3,BONJI,15328742_14087459,N弛 Programada,1,30/11/2017,20:34:00,01/12/2017 18:31,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,81659,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",302
26/05/2023,BONJI,ETN-01S8,ESTANCIA,15328744_14087960,N弛 Programada,0,30/11/2017,20:43:00,02/12/2017 10:19,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - ARVORE OU VEGETACAO,380,1,81659,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2913
26/05/2023,NOVA PETROLANDIA,NPT-01C4,NOVA PETROLANDIA,15328649_14086594,N弛 Programada,0,30/11/2017,21:20:00,01/12/2017 12:10,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,2,14022,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",5813
26/05/2023,IPOJUCA,IPO-01C2,IPOJUCA,15328769_14086476,N弛 Programada,0,30/11/2017,21:22:00,01/12/2017 04:18,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,14,20877,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,IPOJUCA,IPO-01C2,IPOJUCA,15328769_14086476,N弛 Programada,0,30/11/2017,21:22:00,01/12/2017 01:42,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,1975,20877,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PESQUEIRA,PQR-01N5,PESQUEIRA,15328770_14086621,N弛 Programada,0,30/11/2017,21:24:00,01/12/2017 01:40,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - ARVORE OU VEGETACAO,13800,2,46463,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",6022
26/05/2023,BARREIROS,BAR-01C3,BARREIROS,15328776_14087391,N弛 Programada,0,30/11/2017,21:46:00,01/12/2017 17:20,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - ARVORE OU VEGETACAO,13800,2,22620,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,CRUZ DE REBOUCAS,CRS-01C2,CRUZ DE REBOUCAS,15328763_14086505,N弛 Programada,0,30/11/2017,22:00:00,01/12/2017 00:05,INTERNO - NAO PROGRAMADA - TERCEIROS - LIGACAO CLANDESTINA,13800,74,28948,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1816
26/05/2023,BARRA DE BEBEDOURO,BBB-01Y3,BARRA DE BEBEDOURO,15328788_14087007,N弛 Programada,0,30/11/2017,22:20:00,01/12/2017 00:50,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,962,13532,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1512
26/05/2023,ILHA DO RETIRO,ILR-01L3,ILHA DO RETIRO,15328789_14087003,N弛 Programada,0,30/11/2017,22:34:00,01/12/2017 12:30,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,42,24044,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2363
26/05/2023,CABROBO,CBB-01C4,CABROBO,15328792_14086537,N弛 Programada,0,30/11/2017,22:44:00,01/12/2017 00:30,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,203,13096,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3908
26/05/2023,CABROBO,CBB-01C4,CABROBO,15328792_14086537,N弛 Programada,0,30/11/2017,22:44:00,01/12/2017 00:00,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,209,13096,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,DOM AVELAR,DAV-01V2,DOM AVELAR,15328793_14086770,N弛 Programada,0,30/11/2017,22:46:00,01/12/2017 09:45,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,206,41447,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PINA,PIA-01P3,PINA,15328801_14086548,N弛 Programada,0,30/11/2017,23:08:00,01/12/2017 11:59,INTERNO - NAO PROGRAMADA - TERCEIROS - ABALROAMENTO,13800,615,22562,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1207
26/05/2023,PONTEZINHA,PTZ-01C7,PONTEZINHA,15328802_14087932,N弛 Programada,0,30/11/2017,23:11:00,02/12/2017 10:00,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,44675,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PETROLINA II,PTD-01L4,PETROLINA II,15328803_14086984,N弛 Programada,0,30/11/2017,23:17:00,01/12/2017 12:36,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,41172,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",641
26/05/2023,BARRA DE BEBEDOURO,BBB-01Y3,BARRA DE BEBEDOURO,15328788_14087016,N弛 Programada,0,30/11/2017,23:48:00,01/12/2017 11:37,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,117,13532,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1311
26/05/2023,BARRA DE BEBEDOURO,BBB-01Y3,BARRA DE BEBEDOURO,15328788_14087016,N弛 Programada,0,30/11/2017,23:48:00,01/12/2017 11:51,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,36,13532,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",169
26/05/2023,BARRA DE BEBEDOURO,BBB-01Y3,BARRA DE BEBEDOURO,15328788_14087016,N弛 Programada,0,30/11/2017,23:48:00,01/12/2017 12:28,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,1370,13532,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1148
26/05/2023,PINA,PIA-01P1,PINA,15328824_14086681,N弛 Programada,1,30/11/2017,23:57:00,01/12/2017 07:35,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,22562,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,MACAXEIRA,MCX-01X2,MACAXEIRA,15328691_14086581,N弛 Programada,0,01/12/2017,00:09:00,01/12/2017 01:15,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,33,53970,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
